Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,46607.031250,48430.226563,46084.281250,47744.695313,47744.695313,29510115951
2021-10-21,47751.492188,48300.250000,45034.312500,45108.968750,45108.968750,33288254254
2021-10-22,45129.066406,46153.949219,43742.824219,44114.171875,44114.171875,27935813065
2021-10-23,44115.890625,44878.539063,43484.906250,44615.847656,44615.847656,19536030089
2021-10-24,44597.480469,44697.375000,43343.894531,44274.355469,44274.355469,19848840642
2021-10-25,44247.539063,46318.984375,44083.851563,45801.902344,45801.902344,22570366858
2021-10-26,45796.769531,45951.757813,43582.558594,43851.457031,43851.457031,25337929188
2021-10-27,43842.890625,44604.402344,42324.746094,42588.804688,42588.804688,31792524077
2021-10-28,42580.316406,45052.578125,42209.445313,43934.015625,43934.015625,32798668114
2021-10-29,43935.996094,46000.964844,43720.523438,45471.652344,45471.652344,26932318643
2021-10-30,45479.984375,45546.320313,44514.707031,45223.839844,45223.839844,23498674011
2021-10-31,45195.824219,45601.875000,43897.933594,44813.855469,44813.855469,23562900625
2021-11-01,44814.945313,45719.050781,43643.207031,44676.820313,44676.820313,26475016624
2021-11-02,44646.683594,47177.019531,44440.160156,46430.308594,46430.308594,27719263918
2021-11-03,46450.820313,46634.324219,44794.757813,45983.878906,45983.878906,26380085185
2021-11-04,45963.253906,46119.261719,45063.492188,45493.085938,45493.085938,24145511461
2021-11-05,45498.898438,46357.925781,45110.679688,45268.207031,45268.207031,22665404349
2021-11-06,45226.140625,45629.519531,44572.398438,45582.695313,45582.695313,21555011113
2021-11-07,45603.023438,46941.699219,45512.320313,46941.699219,46941.699219,18328929167
2021-11-08,46954.359375,49895.644531,46954.359375,49813.441406,49813.441406,30319731365
2021-11-09,49800.839844,50548.253906,48966.792969,49389.378906,49389.378906,31237536365
2021-11-10,49375.746094,50843.445313,47159.195313,48460.183594,48460.183594,36333510716
2021-11-11,48448.000000,48991.523438,47866.964844,48598.031250,48598.031250,26847253251
2021-11-12,48533.695313,49013.785156,46472.550781,47824.019531,47824.019531,26898906790
2021-11-13,47825.644531,48390.351563,47188.753906,48057.777344,48057.777344,22716526254
2021-11-14,48047.226563,48818.144531,47445.242188,48797.019531,48797.019531,18725253856
2021-11-15,48837.601563,49396.871094,47378.316406,47394.722656,47394.722656,22787486625
2021-11-16,47516.511719,47516.511719,43871.152344,44817.121094,44817.121094,34896687799
2021-11-17,44801.011719,45209.703125,43561.621094,44752.195313,44752.195313,29043843782
2021-11-18,44746.359375,45177.769531,41886.378906,42181.539063,42181.539063,30659612153
2021-11-19,42147.457031,43314.265625,41308.066406,43227.656250,43227.656250,28785728531
2021-11-20,43224.312500,44522.042969,42744.316406,44401.042969,44401.042969,22777440101
2021-11-21,44425.820313,44629.550781,43599.062500,43720.550781,43720.550781,19446999730
2021-11-22,43702.964844,44079.355469,41592.449219,42016.351563,42016.351563,26152222599
2021-11-23,42027.746094,43254.886719,41562.566406,43040.769531,43040.769531,28025773970
2021-11-24,43038.359375,43207.562500,41948.765625,42224.390625,42224.390625,27485833983
2021-11-25,42888.355469,44566.050781,42863.269531,43024.109375,43024.109375,25753775881
2021-11-26,44290.316406,44471.179688,40161.789063,40161.789063,40161.789063,31345936049
2021-11-27,40286.738281,41468.449219,40223.628906,41083.078125,41083.078125,22904904444
2021-11-28,41081.539063,43024.722656,40154.960938,42913.328125,42913.328125,21076361779
2021-11-29,42945.898438,44253.273438,42566.054688,43416.718750,43416.718750,24312734695
2021-11-30,43434.406250,44255.308594,42107.652344,42876.402344,42876.402344,27610222607
2021-12-01,42803.097656,44320.882813,42635.253906,43105.222656,43105.222656,27761408414
2021-12-02,43095.835938,43053.101563,42017.878906,42465.500000,42465.500000,24346401315
2021-12-03,42489.070313,43274.242188,39679.492188,40505.000000,40505.000000,30069245563
2021-12-04,40602.964844,40736.574219,32400.990234,37181.710938,37181.710938,46390077248
2021-12-05,37182.324219,37610.535156,36166.628906,37300.187500,37300.187500,28104766104
2021-12-06,37333.910156,38409.972656,35642.855469,38138.136719,38138.136719,28430442965
2021-12-07,38137.535156,39241.660156,37894.828125,38277.144531,38277.144531,25425052262
2021-12-08,38252.656250,38775.722656,36977.250000,38234.957031,38234.957031,21560727344
2021-12-09,38193.539063,38466.101563,35827.968750,36048.945313,36048.945313,22385781063
2021-12-10,36026.273438,37809.679688,35431.414063,35596.886719,35596.886719,23332265540
2021-12-11,35612.957031,37270.968750,35370.121094,37198.847656,37198.847656,19424308437
2021-12-12,37193.078125,38218.042969,36719.070313,37789.625000,37789.625000,16548953814
2021-12-13,37802.000000,37878.464844,34720.781250,35371.253906,35371.253906,24344004748
2021-12-14,35350.320313,36604.500000,35137.261719,35233.183594,35233.183594,26182362281
2021-12-15,36568.902344,37296.335938,35316.675781,36869.105469,36869.105469,27553269540
2021-12-16,36871.925781,37246.171875,35678.449219,35777.476563,35777.476563,20467365028
2021-12-17,35768.699219,36024.503906,34353.617188,34909.046875,34909.046875,24860377983
2021-12-18,34921.976563,35717.964844,34452.906250,35366.890625,35366.890625,19702018724
2021-12-19,35370.734375,36303.656250,35105.824219,35306.625000,35306.625000,19014376932
2021-12-20,35306.664063,35874.804688,34434.179688,35489.683594,35489.683594,23439026845
2021-12-21,35494.074219,37208.144531,35370.632813,36882.500000,36882.500000,20391391249
2021-12-22,36882.863281,37360.144531,36397.410156,36423.582031,36423.582031,18311952305
2021-12-23,36421.957031,38258.199219,35969.347656,37882.675781,37882.675781,21053573651
2021-12-24,37898.722656,38670.054688,37668.808594,37962.453125,37962.453125,18202001925
2021-12-25,37986.894531,38227.179688,37525.113281,37669.390625,37669.390625,14215249191
2021-12-26,37668.519531,38205.398438,37066.773438,37909.792969,37909.792969,15641854070
2021-12-27,37904.640625,38654.781250,37680.027344,37673.988281,37673.988281,18096121351
2021-12-28,37703.332031,37703.332031,35286.320313,35426.808594,35426.808594,24886742615
2021-12-29,35452.875000,35814.031250,34239.140625,34410.515625,34410.515625,22263231371
2021-12-30,34444.519531,35485.996094,34131.937500,34953.328125,34953.328125,19771487466
2021-12-31,34946.843750,35862.835938,33857.281250,34221.203125,34221.203125,27324504990
2022-01-01,34225.121094,35345.148438,34207.933594,35241.316406,35241.316406,18166984239
